package, version
adduser, 3.115
apt, 1.4.8
base-files, 9.9+deb9u6
base-passwd, 3.5.43
bash, 4.4-5
bsdutils, 1:2.29.2-1+deb9u1
ca-certificates, 20161130+nmu1+deb9u1
coreutils, 8.26-3
dash, 0.5.8-2.4
debconf, 1.5.61
debian-archive-keyring, 2017.5
debianutils, 4.8.1.1
diffutils, 1:3.5-3
dpkg, 1.18.25
e2fslibs:amd64, 1.43.4-2
e2fsprogs, 1.43.4-2
findutils, 4.6.0+git+20161106-2
gcc-6-base:amd64, 6.3.0-18+deb9u1
git, 1:2.11.0-3+deb9u4
git-core, 1:2.11.0-3+deb9u4
git-man, 1:2.11.0-3+deb9u4
gpgv, 2.1.18-8~deb9u3
grep, 2.27-2
gzip, 1.6-5+b1
hostname, 3.18+b1
init-system-helpers, 1.48
libacl1:amd64, 2.2.52-3+b1
libapt-pkg5.0:amd64, 1.4.8
libattr1:amd64, 1:2.4.47-2+b2
libaudit-common, 1:2.6.7-2
libaudit1:amd64, 1:2.6.7-2
libblkid1:amd64, 2.29.2-1+deb9u1
libbz2-1.0:amd64, 1.0.6-8.1
libc-bin, 2.24-11+deb9u3
libc6:amd64, 2.24-11+deb9u3
libcap-ng0:amd64, 0.7.7-3+b1
libcomerr2:amd64, 1.43.4-2
libcurl3-gnutls:amd64, 7.52.1-5+deb9u8
libdb5.3:amd64, 5.3.28-12+deb9u1
libdebconfclient0:amd64, 0.227
liberror-perl, 0.17024-1
libexpat1:amd64, 2.2.0-2+deb9u1
libfdisk1:amd64, 2.29.2-1+deb9u1
libffi6:amd64, 3.2.1-6
libgcc1:amd64, 1:6.3.0-18+deb9u1
libgcrypt20:amd64, 1.7.6-2+deb9u3
libgdbm3:amd64, 1.8.3-14
libgmp10:amd64, 2:6.1.2+dfsg-1
libgnutls30:amd64, 3.5.8-5+deb9u4
libgpg-error0:amd64, 1.26-2
libgssapi-krb5-2:amd64, 1.15-1+deb9u1
libhogweed4:amd64, 3.3-1+b2
libidn11:amd64, 1.33-1
libidn2-0:amd64, 0.16-1+deb9u1
libk5crypto3:amd64, 1.15-1+deb9u1
libkeyutils1:amd64, 1.5.9-9
libkrb5-3:amd64, 1.15-1+deb9u1
libkrb5support0:amd64, 1.15-1+deb9u1
libldap-2.4-2:amd64, 2.4.44+dfsg-5+deb9u2
libldap-common, 2.4.44+dfsg-5+deb9u2
liblz4-1:amd64, 0.0~r131-2+b1
liblzma5:amd64, 5.2.2-1.2+b1
libmount1:amd64, 2.29.2-1+deb9u1
libncursesw5:amd64, 6.0+20161126-1+deb9u2
libnettle6:amd64, 3.3-1+b2
libnghttp2-14:amd64, 1.18.1-1
libp11-kit0:amd64, 0.23.3-2
libpam-modules:amd64, 1.1.8-3.6
libpam-modules-bin, 1.1.8-3.6
libpam-runtime, 1.1.8-3.6
libpam0g:amd64, 1.1.8-3.6
libpcre3:amd64, 2:8.39-3
libperl5.24:amd64, 5.24.1-3+deb9u5
libpsl5:amd64, 0.17.0-3
libreadline7:amd64, 7.0-3
librtmp1:amd64, 2.4+20151223.gitfa8646d.1-1+b1
libsasl2-2:amd64, 2.1.27~101-g0780600+dfsg-3
libsasl2-modules-db:amd64, 2.1.27~101-g0780600+dfsg-3
libselinux1:amd64, 2.6-3+b3
libsemanage-common, 2.6-2
libsemanage1:amd64, 2.6-2
libsepol1:amd64, 2.6-2
libsmartcols1:amd64, 2.29.2-1+deb9u1
libsqlite3-0:amd64, 3.16.2-5+deb9u1
libss2:amd64, 1.43.4-2
libssh2-1:amd64, 1.7.0-1
libssl1.1:amd64, 1.1.0j-1~deb9u1
libstdc++6:amd64, 6.3.0-18+deb9u1
libsystemd0:amd64, 232-25+deb9u6
libtasn1-6:amd64, 4.10-1.1+deb9u1
libtinfo5:amd64, 6.0+20161126-1+deb9u2
libudev1:amd64, 232-25+deb9u6
libunistring0:amd64, 0.9.6+really0.9.3-0.1
libustr-1.0-1:amd64, 1.0.4-6
libuuid1:amd64, 2.29.2-1+deb9u1
login, 1:4.4-4.1
lsb-base, 9.20161125
make, 4.1-9.1
mawk, 1.3.3-17+b3
mount, 2.29.2-1+deb9u1
multiarch-support, 2.24-11+deb9u3
ncurses-base, 6.0+20161126-1+deb9u2
ncurses-bin, 6.0+20161126-1+deb9u2
netbase, 5.4
openssl, 1.1.0j-1~deb9u1
passwd, 1:4.4-4.1
perl, 5.24.1-3+deb9u5
perl-base, 5.24.1-3+deb9u5
perl-modules-5.24, 5.24.1-3+deb9u5
readline-common, 7.0-3
sed, 4.4-1
sensible-utils, 0.0.9+deb9u1
sysvinit-utils, 2.88dsf-59.9
tar, 1.29b-1.1
tzdata, 2018g-0+deb9u1
util-linux, 2.29.2-1+deb9u1
zlib1g:amd64, 1:1.2.8.dfsg-5
